,name,university,type,location,duration,link
202,Computing Science,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/computing-science-487
203,Spatial Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/spatial-sciences-514
204,Global Criminal Law,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/global-criminal-law-515
205,Classics,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/classics-529
206,Behavioural and Social Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/behavioural-and-social-sciences-509
207,Applied Linguistics - TEFL,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/applied-linguistics-tefl-4505
208,Language and Cognition,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/language-and-cognition-4529
209,Artificial Intelligence,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-469
210,Master International Communication,Hanze University of Applied Sciences,Master,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/master-international-communication-2012
211,DDM International Development Economics,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ddm-international-development-economics-4613
212,Psychology,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-484
213,Chemical Engineering,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/chemical-engineering-491
214,"Econometrics, Operations Research and Actuarial Studies",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-operations-research-and-actuarial-studies-506
0,Philosophy (120 ec),Leiden University,Master,Leiden,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-120-ec-373
1,Asian Studies: South Asian Studies (60EC),Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/asian-studies-south-asian-studies-60ec-3860
2,Linguistics (specialisation),Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/linguistics-specialisation-3812
3,Philosophy (60 ec),Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/philosophy-60-ec-372
4,Language and Culture Education: German,Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/language-and-culture-education-german-4061
5,Public International Law (Advanced LL.M.),Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/public-international-law-advanced-llm-412
6,Colonial and Global History: Heritage and Postcolonial Studies,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/colonial-and-global-history-heritage-and-postcolonial-studies-9747
7,Classics and Ancient Civilizations: Classics,Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/classics-and-ancient-civilizations-classics-3824
8,History (Research): Colonial and Global History,Leiden University,Master,Leiden,2 years,https://www.studyinnl.org//dutch-education/studies/history-research-colonial-and-global-history-3617
9,Philosophy: Philosophy of Humanities,Leiden University,Master,Leiden,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-philosophy-of-humanities-3836
10,History: Europe 1000-1800,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/history-europe-1000-1800-3902
11,Psychology: Health and Medical Psychology,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-health-and-medical-psychology-3943
12,Education and Child Studies: Learning Problems and Impairments (international track),Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/education-and-child-studies-learning-problems-and-impairments-international-track-3740
13,Psychology: Applied Cognitive Psychology,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-applied-cognitive-psychology-3927
14,"Cities, Migration and Global Interdependence: Economic History",Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/cities-migration-and-global-interdependence-economic-history-9749
15,International Relations: European Union Studies,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/international-relations-european-union-studies-3776
16,"Political Science: Nationalism, Ethnic Conflict and Development",Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-nationalism-ethnic-conflict-and-development-3671
17,Computer Science: Artificial Intelligence,Leiden University,Master,Leiden,2 years,https://www.studyinnl.org//dutch-education/studies/computer-science-artificial-intelligence-3709
18,Cultural Anthropology and Development Sociology: Visual Ethnography,Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/cultural-anthropology-and-development-sociology-visual-ethnography-3623
19,Arts & Culture,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/arts-culture-343
20,Modern Languages: Italian Language and Linguistics,Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/modern-languages-italian-language-and-linguistics-9755
21,Psychology: (Research) Social and Economic Psychology,Leiden University,Master,Leiden,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-research-social-and-economic-psychology-3718
22,Middle Eastern Studies,Leiden University,Master,Leiden,11 months,https://www.studyinnl.org//dutch-education/studies/middle-eastern-studies-382
