,name,university,type,location,duration,link
4,Master in Consultancy and Entrepreneurship,Rotterdam University of Applied Sciences,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/master-in-consultancy-and-entrepreneurship-1675
5,Medical Business and Innovation,Erasmus University Rotterdam,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/medical-business-and-innovation-11552
6,Fine Art,Rotterdam University of Applied Sciences,Bachelor,Rotterdam,4 years,https://www.studyinnl.org//dutch-education/studies/fine-art-1659
7,Creative Business,Inholland University of Applied Sciences,Bachelor,Rotterdam,4 years,https://www.studyinnl.org//dutch-education/studies/creative-business-2360
8,Master Choreography (joint degree),"Codarts, University for the Arts",Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-choreography-joint-degree-233
9,"People, Organisations & Change",Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/people-organisations-change-13527
10,Master of Business Administration,Tio University of Applied Sciences,Master,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-10888
11,MSc Global Business & Sustainability,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/msc-global-business-sustainability-752
12,MSc Management of Innovation,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/msc-management-of-innovation-754
13,History,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/history-763
14,Public Administration and Organisational Science,Erasmus University Rotterdam,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/public-administration-and-organisational-science-741
15,Education in Arts,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/education-in-arts-1671
16,Master Design,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-design-1668
17,MSc Finance & Investments,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/msc-finance-investments-743
18,Arts and Culture Studies,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-studies-730
19,International Bachelor Arts and Culture Studies,Erasmus University Rotterdam,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-bachelor-arts-and-culture-studies-718
20,International Bachelor History,Erasmus University Rotterdam,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-bachelor-history-5339
21,"Media Studies - Sociology of Culture, Media and the Arts",Erasmus University Rotterdam,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/media-studies-sociology-of-culture-media-and-the-arts-760
22,Strategic Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/strategic-management-724
23,MSc Business Information Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/msc-business-information-management-750
24,Master in International Supply Chain Management,Rotterdam University of Applied Sciences,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/master-in-international-supply-chain-management-1673
25,Shipping and Transport,Rotterdam University of Applied Sciences,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/shipping-and-transport-10672
26,International Business Management,Tio University of Applied Sciences,Other,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-10523
27,Urban Management and Development (UMD)(IHS),Erasmus University Rotterdam,Master,Rotterdam,11 months,https://www.studyinnl.org//dutch-education/studies/urban-management-and-development-umdihs-771
28,Intensive foundation programme (6 months),Rotterdam University of Applied Sciences,Short or summer course,Rotterdam,6 months,https://www.studyinnl.org//dutch-education/studies/intensive-foundation-programme-6-months-8006
29,International Public Management and Policy,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-public-management-and-policy-745
30,Master of Arts in Fine Art and Design | Experimental Publishing,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-of-arts-in-fine-art-and-design-experimental-publishing-10489
31,"Economics & Business, track International Economics",Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-business-track-international-economics-13946
32,International Business Management,Tio University of Applied Sciences,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-1798
33,Economics and Business,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-and-business-757
34,International Business,Rotterdam University of Applied Sciences,Bachelor,Rotterdam,4 years,https://www.studyinnl.org//dutch-education/studies/international-business-1606
35,Design,Rotterdam University of Applied Sciences,Bachelor,Rotterdam,4 years,https://www.studyinnl.org//dutch-education/studies/design-1660
36,"Urban Housing & Land Justice: Equitable Access to Sustainable Land, Housing & Services",Erasmus University Rotterdam,Master,Rotterdam,11 months,https://www.studyinnl.org//dutch-education/studies/urban-housing-land-justice-equitable-access-to-sustainable-land-housing-services-5493
37,Master of Arts in Fine Art and Design,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-of-arts-in-fine-art-and-design-1669
38,International Bachelor in Psychology,Erasmus University Rotterdam,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-bachelor-in-psychology-5346
39,Master of Arts in Fine Art and Design | Lens-Based Media,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-of-arts-in-fine-art-and-design-lens-based-media-8098
40,Hotel and Event Management,Tio University of Applied Sciences,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-and-event-management-1793
41,Commercial Economy & Entrepreneurship,Tio University of Applied Sciences,Other,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/commercial-economy-entrepreneurship-10525
42,"Economics & Business, track Financial Economics",Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-business-track-financial-economics-13945
43,"Economics & Business, track Marketing",Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-business-track-marketing-13947
44,Bestuurskunde (Public Administration),Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/bestuurskunde-public-administration-722
45,Commerce Economics & Entrepreneurship,Tio University of Applied Sciences,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/commerce-economics-entrepreneurship-1788
46,International Tourism Management,Tio University of Applied Sciences,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-1803
47,Health Sciences,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/health-sciences-774
48,Global Executive MBA,Erasmus University Rotterdam,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/global-executive-mba-777
49,MScBA Business Analytics & Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/mscba-business-analytics-management-10054
50,Master of Arts in Fine Art and Design | Fine Art,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/master-of-arts-in-fine-art-and-design-fine-art-8099
51,Leadership and Communication,Erasmus University Rotterdam,Short or summer course,Rotterdam,3 days,https://www.studyinnl.org//dutch-education/studies/leadership-and-communication-5249
52,International Bachelor Communication and Media,Erasmus University Rotterdam,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-bachelor-communication-and-media-702
53,Supply Chain Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/supply-chain-management-731
54,"Economics & Business, track Urban, Port and Transport Economics)",Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-business-track-urban-port-and-transport-economics-13948
55,MScBA Accounting & Financial Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/mscba-accounting-financial-management-5419
56,Tinbergen Institute Master of Philosophy in Economics,Erasmus University Rotterdam,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/tinbergen-institute-master-of-philosophy-in-economics-12270
57,Marketing Management,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/marketing-management-723
58,European Master in Law and Economics,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/european-master-in-law-and-economics-783
59,International Tourism Management,Tio University of Applied Sciences,Other,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-10524
60,Management of International Social Challenges,Erasmus University Rotterdam,Bachelor,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/management-of-international-social-challenges-5351
61,Interior Architecture: Research + Design,Rotterdam University of Applied Sciences,Master,Rotterdam,2 years,https://www.studyinnl.org//dutch-education/studies/interior-architecture-research-design-1667
62,Strategic Entrepreneurship,Erasmus University Rotterdam,Master,Rotterdam,1 year,https://www.studyinnl.org//dutch-education/studies/strategic-entrepreneurship-751
63,Strategic Urban Planning and Policies: Managing Socio-Spatial Dynamics for Sustainable Cities,Erasmus University Rotterdam,Master,Rotterdam,11 months,https://www.studyinnl.org//dutch-education/studies/strategic-urban-planning-and-policies-managing-socio-spatial-dynamics-for-sustainable-cities-5503
64,Urban Digital Transformation & Innovation: Governance and Economics of Cities,Erasmus University Rotterdam,Master,Rotterdam,11 months,https://www.studyinnl.org//dutch-education/studies/urban-digital-transformation-innovation-governance-and-economics-of-cities-5492
65,Employee Communication,Erasmus University Rotterdam,Short or summer course,Rotterdam,3 days,https://www.studyinnl.org//dutch-education/studies/employee-communication-5247
66,Hotel- & Eventmanagement,Tio University of Applied Sciences,Other,Rotterdam,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-eventmanagement-10526
0,Master of Arts in Fine Art and Design,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/master-of-arts-in-fine-art-and-design-128
1,International Tourism Management,Tio University of Applied Sciences,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-1801
2,"Nano, Quantum and Photonics",Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/nano-quantum-and-photonics-5792
3,Biomedical Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-engineering-861
4,Master of Business Administration,Tio University of Applied Sciences,Master,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-10886
5,Information & Communication Technology,Fontys University of Applied Sciences,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/information-communication-technology-2676
6,Psychology & Technology,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/psychology-technology-833
7,Industrial Design,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/industrial-design-858
8,Information Security Technology,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/information-security-technology-5805
9,Social Design,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/social-design-3175
10,"Architecture, Urbanism and Building Sciences",Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/architecture-urbanism-and-building-sciences-836
11,Automotive Systems Design,Eindhoven University of Technology,Other,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/automotive-systems-design-10911
12,Systems and Control,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/systems-and-control-849
13,System Design,Fontys University of Applied Sciences,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/system-design-13084
14,Chemical Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/chemical-engineering-855
15,Automotive Technology,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/automotive-technology-10730
16,Contextual Design,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/contextual-design-3176
17,Electrical Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/electrical-engineering-848
18,Computer Science and Engineering,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/computer-science-and-engineering-10735
19,International Business Management,Tio University of Applied Sciences,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-1796
20,Hotel- & Eventmanagement,Tio University of Applied Sciences,Other,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-eventmanagement-10518
21,Data Science and Artificial Intelligence,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/data-science-and-artificial-intelligence-10503
22,"Fluids, Bio and Soft Matter",Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/fluids-bio-and-soft-matter-5791
23,Science and Technology of Nuclear Fusion,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/science-and-technology-of-nuclear-fusion-864
24,Industrial and Applied Mathematics,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/industrial-and-applied-mathematics-847
25,Industrial Engineering,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/industrial-engineering-843
26,Care and Cure (master's track),Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/care-and-cure-masters-track-10580
27,Electrical Engineering,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/electrical-engineering-837
28,Connected World Technologies,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/connected-world-technologies-5773
29,Hotel and Event Management,Tio University of Applied Sciences,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-and-event-management-1791
30,Chemical Engineering and Chemistry,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/chemical-engineering-and-chemistry-838
31,Design,Design Academy Eindhoven,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/design-127
32,Embedded Systems,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/embedded-systems-844
33,Applied Physics,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/applied-physics-839
34,Mechatronics,Fontys University of Applied Sciences,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/mechatronics-2678
35,Sustainable Innovation,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/sustainable-innovation-835
36,Information Design,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/information-design-3177
37,Applied Physics,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/applied-physics-854
38,Commerce Economics & Entrepreneurship,Tio University of Applied Sciences,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/commerce-economics-entrepreneurship-1786
39,Construction Management and Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/construction-management-and-engineering-845
40,Mechanical Engineering,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-842
41,EIT Data Science,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/eit-data-science-10925
42,EIT ICT Embedded Systems,Eindhoven University of Technology,Master,Eindhoven,-,https://www.studyinnl.org//dutch-education/studies/eit-ict-embedded-systems-10734
43,Data Science,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/data-science-832
44,Data Science,Eindhoven University of Technology,Other,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/data-science-57669
45,Innovation Management,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/innovation-management-851
46,Mechanical Engineering,Fontys University of Applied Sciences,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-2689
47,Communication - International Communication Management,Fontys University of Applied Sciences,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/communication-international-communication-management-2696
48,Commercial Economy & Entrepreneurship,Tio University of Applied Sciences,Other,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/commercial-economy-entrepreneurship-10517
49,International Business Management,Tio University of Applied Sciences,Other,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-10515
50,"Architecture, Building and Planning",Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/architecture-building-and-planning-853
51,Applied IT,Fontys University of Applied Sciences,Master,Eindhoven,1 year,https://www.studyinnl.org//dutch-education/studies/applied-it-12792
52,Applied Mathematics,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/applied-mathematics-841
53,Mechanical Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-857
54,Automotive Technology,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/automotive-technology-850
55,Computer Science and Engineering,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/computer-science-and-engineering-856
56,Industrial Design,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/industrial-design-831
57,Human-Technology Interaction,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/human-technology-interaction-852
58,International Business,Fontys University of Applied Sciences,Bachelor,Eindhoven,4 years,https://www.studyinnl.org//dutch-education/studies/international-business-2680
59,Operations Management & Logistics,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/operations-management-logistics-863
60,Computer Science and Engineering,Eindhoven University of Technology,Bachelor,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/computer-science-and-engineering-840
61,International Tourism Management,Tio University of Applied Sciences,Other,Eindhoven,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-10516
62,Geo—Design,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/geo-design-3179
63,The Critical Inquiry Lab,Design Academy Eindhoven,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/the-critical-inquiry-lab-3178
64,Sustainable Energy Technology,Eindhoven University of Technology,Master,Eindhoven,2 years,https://www.studyinnl.org//dutch-education/studies/sustainable-energy-technology-859
0,"Communication, Health and Life Sciences",Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/communication-health-and-life-sciences-955
1,Earth and Environment,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/earth-and-environment-938
2,Food Quality Management,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/food-quality-management-945
3,Biobased Sciences,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/biobased-sciences-952
4,Geo-information Science,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/geo-information-science-944
5,Bioinformatics,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/bioinformatics-942
6,Cell Biology and Molecular Interactions,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/cell-biology-and-molecular-interactions-6160
7,Governance of Sustainability Transformations,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/governance-of-sustainability-transformations-12705
8,International Development Studies,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/international-development-studies-959
9,Online Master's Food Technology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/online-masters-food-technology-6179
10,Food Technology,Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/food-technology-936
11,Nutrition and Health,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/nutrition-and-health-964
12,Development and Adaptation,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/development-and-adaptation-6161
13,European Master in Animal Breeding and Genetics,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/european-master-in-animal-breeding-and-genetics-6159
14,Information and Communication Technologies for Development (double degree),Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/information-and-communication-technologies-for-development-double-degree-11367
15,Landscape Architecture and Planning,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/landscape-architecture-and-planning-961
16,Plant Sciences,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/plant-sciences-957
17,Online Master's Plant Breeding,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/online-masters-plant-breeding-6125
18,Molecular Life Sciences,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/molecular-life-sciences-949
19,Health and Disease,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/health-and-disease-6162
20,Agroecology (double degree),Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/agroecology-double-degree-11365
21,International Land and Water Management,Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/international-land-and-water-management-921
22,"Management, Economics and Consumer Studies",Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/management-economics-and-consumer-studies-958
23,Aquaculture,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/aquaculture-6088
24,International Land and Water Management,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/international-land-and-water-management-940
25,Online Master's Nutritional Epidemiology and Public Health,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/online-masters-nutritional-epidemiology-and-public-health-6169
26,Aquaculture and Marine Resource Management,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/aquaculture-and-marine-resource-management-950
27,Animal Sciences,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/animal-sciences-962
28,Resilient Farming and Food Systems,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/resilient-farming-and-food-systems-966
29,Supply Chain Analytics,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/supply-chain-analytics-12704
30,Environmental Sciences,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/environmental-sciences-951
31,Forest and Nature Conservation,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/forest-and-nature-conservation-954
32,Biosystems Engineering,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/biosystems-engineering-956
33,Marine Resources and Ecology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/marine-resources-and-ecology-6086
34,Urban Environmental Management,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/urban-environmental-management-946
35,Food Technology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/food-technology-965
36,Marine Governance,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/marine-governance-6087
37,Development and Rural Innovation,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/development-and-rural-innovation-939
38,Biology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/biology-963
39,Ecology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/ecology-6163
40,Sustainable Business and Innovation,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/sustainable-business-and-innovation-12703
41,"Tourism, Society & Environment",Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/tourism-society-environment-947
42,"Soil, Water, Atmosphere",Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/soil-water-atmosphere-935
43,Health Management in Aquaculture (double degree),Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/health-management-in-aquaculture-double-degree-11366
44,Consumer Studies,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/consumer-studies-12701
45,Data Science for Food and Health,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/data-science-for-food-and-health-11960
46,Plant Biotechnology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/plant-biotechnology-941
47,Marine Sciences,Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/marine-sciences-13449
48,Food Safety,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/food-safety-948
49,Animal Sciences,Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/animal-sciences-932
50,Climate Studies,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/climate-studies-943
51,Biotechnology,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/biotechnology-960
52,Environmental Sciences,Wageningen University & Research,Bachelor,Wageningen,3 years,https://www.studyinnl.org//dutch-education/studies/environmental-sciences-925
53,Economics of Sustainability,Wageningen University & Research,Master,Wageningen,2 years,https://www.studyinnl.org//dutch-education/studies/economics-of-sustainability-12702
0,English & Business Preparation Programme (1 Year),Wittenborg University of Applied Sciences,Other,Apeldoorn,1 year,https://www.studyinnl.org//dutch-education/studies/english-business-preparation-programme-1-year-10332
1,Master of Business Administration (MBA) in International Management,Wittenborg University of Applied Sciences,Master,Apeldoorn,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-mba-in-international-management-8235
2,Master of Business Management (MSc) in Sport Business,Wittenborg University of Applied Sciences,Master,Apeldoorn,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-management-msc-in-sport-business-8237
3,Bachelor of Business Administration (HBA) in Tourism Management,Wittenborg University of Applied Sciences,Bachelor,Apeldoorn,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-of-business-administration-hba-in-tourism-management-8221
4,Bachelor of Business Administration (IBA) in Financial Services Management,Wittenborg University of Applied Sciences,Bachelor,Apeldoorn,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-of-business-administration-iba-in-financial-services-management-8215
